20a0 20e0
1d 15db: "{eb:15dc:   (a0) } {a6:15dd:NEUTRO(ce)N} {3b:15de:FUE(cc)L} {ea:15df:    (a0) } "
1e 15e0: "{e8:15e1:      (a0) } {18:15e2:ANTENN(c1)A} {e8:15e3:      (a0) } "
1f 15e4: "{ec:15e5:  (a0) } {37:15e6:ENERG(d9)Y} {2a:15e7:CRYSTA(cc)L} {eb:15e8:   (a0) } "
20 15e9: "{e8:15ea:      (a0) } COFFIN {e7:15f2:       (a0) } "
21 15f3: "{e9:15f4:     (a0) } LARGE BOX {e9:15ff:     (a0) } "
22 15f3: "{e9:15f4:     (a0) } LARGE BOX {e9:15ff:     (a0) } "
23 1600: "{ec:1601:  (a0) } USEFUL ARMAMENT {ec:1612:  (a0) } "
24 1613: "{e9:1614:     (a0) } {cc:1615:INFIRMAR(d9)Y} "
25 1616: "{e7:1617:       (a0) } {1a:1618:GOL(c4)D} {e6:1619:        (a0) } "
26 1616: "{e7:1617:       (a0) } {1a:1618:GOL(c4)D} {e6:1619:        (a0) } "
27 161a: "{e8:161b:      (a0) } SIGHTS {e7:1623:       (a0) } "
28 161a: "{e8:161b:      (a0) } SIGHTS {e7:1623:       (a0) } "
29 1624: "{ed:1625: (a0) } {9c:1626:MEDICA(cc)L} {ca:1627:SUPPLIE(d3)S} {ec:1628:  (a0) } "
2a 1629: "{35:162a:ESSENTIA(cc)L} 12939 SUPPLY [ef]"
2b 1639: "{ea:163a:    (a0) } WINCHESTER {e9:1646:     (a0) } "
2c 1647: "{ee:1648:(a0) } {21:1649:CATERIN(c7)G} {b9:164a:PROVISION(d3)S} {ee:164b:(a0) } "
2d 164c: "{e9:164d:     (a0) } DATABANK {e8:1657:      (a0) } "
2e 1658: "{e7:1659:       (a0) } PASS {e6:165f:        (a0) } "
2f 1660: "{eb:1661:   (a0) } {d4:1662:KITCHE(ce)N} SINK {ea:1668:    (a0) } "
30 1669: "{ec:166a:  (a0) } {c5:166b:SHI(d0)P} {30:166c:DESTRO(d9)Y} {04:166d:E(c4)D} {e7:166e:       (a0) } "
31 166f: "[ef]ENEMY {c5:1677:SHI(d0)P} {30:1678:DESTRO(d9)Y} {04:1679:E(c4)D} {e7:167a:       (a0) } "
32 167b: "{e6:167c:        (a0) } "
33 167d: "PRESS RETURN WHEN READY "
34 167d: "PRESS RETURN WHEN READY "
35 167d: "PRESS RETURN WHEN READY "
36 167d: "PRESS RETURN WHEN READY "
37 167d: "PRESS RETURN WHEN READY "
38 167d: "PRESS RETURN WHEN READY "
39 1696: "{ed:1697: (a0) } PASS HOLDERS ONLY {e6:16aa:        (a0) } "
3a 16ab: "{ec:16ac:  (a0) } LOAD {96:16b2:NO. O-9 (ed)?} "
3b 16b3: "{ec:16b4:  (a0) } SAVE {96:16ba:NO. O-9 (ed)?} "
3c 16bb: "{ea:16bc:    (a0) } {e4:16bd:WHER(c5)E} {09:16be:A(cd)M} {c3:16bf:(c9)I} "
3d 16c0: "{ea:16c1:    (a0) } {dc:16c2:YO(d5)U} {23:16c3:CRAS(c8)H} {04:16c4:E(c4)D} "
3e 16c5: "{eb:16c6:   (a0) } {da:16c7:GOO(c4)D} {98:16c8:LAN(c4)D} {03:16c9:IN(c7)G} {06:16ca:(ee)!} "
3f 16cb: "{e7:16cc:       (a0) } OUCH# "
